Arica y Parinacota;,Albergue Plan Protege Calle COVID-19;,Arica;,Albergue Plan Protege Calle;,Azapa, Arica, Arica y Parinacota, Chile;,COFEDUC;,24 hrs.;,20;,Ver Mapa;,-18.5267348;,-70.166358;,https://maps.googleapis.com/maps/api/geocode/json?address=Azapa,+Arica,+Arica+y+Parinacota,+Chile&key=AIzaSyBr8k58m1tkHh0QNc5S2KRzcpDYuMREu0A;
Arica y Parinacota;,Albergue;,Arica;,Albergue;,Tucapel 2518, Arica, Arica y Parinacota, Chile;,Corporación Maymuru;,24 hrs.;,20;,Ver Mapa;,-18.475353;,-70.2905841;,https://maps.googleapis.com/maps/api/geocode/json?address=Tucapel+2518,+Arica,+Arica+y+Parinacota,+Chile&key=AIzaSyBr8k58m1tkHh0QNc5S2KRzcpDYuMREu0A;
Arica y Parinacota;,Albergue;,Arica;,Albergue;,Pje 11 1104, Arica, Arica y Parinacota, Chile;,COFEDUC;,24 hrs;,20;,Ver Mapa;,-18.4724203;,-70.3012499;,https://maps.googleapis.com/maps/api/geocode/json?address=Pje+11+1104,+Arica,+Arica+y+Parinacota,+Chile&key=AIzaSyBr8k58m1tkHh0QNc5S2KRzcpDYuMREu0A;
Tarapacá;,Albergue;,Alto Hospicio;,Albergue;,Cerro Sta Rosa 3435, Alto Hospicio, Tarapacá, Chile;,Municipalidad Alto Hospicio;,24 hrs.;,20;,Ver Mapa;,-20.2727157;,-70.1042596;,https://maps.googleapis.com/maps/api/geocode/json?address=Cerro+Sta+Rosa+3435,+Alto+Hospicio,+Tarapacá,+Chile&key=AIzaSyBr8k58m1tkHh0QNc5S2KRzcpDYuMREu0A;
Tarapacá;,Albergue;,Iquique;,Albergue;,Las Zampoñas 2205, Iquique, Tarapacá, Chile;,Fundacion UNAP;,24 hrs.;,20;,Ver Mapa;,-20.2341151;,-70.1340937;,https://maps.googleapis.com/maps/api/geocode/json?address=Las+Zampoñas+2205,+Iquique,+Tarapacá,+Chile&key=AIzaSyBr8k58m1tkHh0QNc5S2KRzcpDYuMREu0A;
Antofagasta;,Albergue;,Antofagasta;,Albergue PI;,Achao 6000, Antofagasta, Chile;,Comunidad Terapéutica Tabor;,24 hrs.;,20;,Ver Mapa;,-23.6182822;,-70.37931859999999;,https://maps.googleapis.com/maps/api/geocode/json?address=Achao+6000,+Antofagasta,+Chile&key=AIzaSyBr8k58m1tkHh0QNc5S2KRzcpDYuMREu0A;
Antofagasta;,Albergue Plan Protege Calle COVID-19;,Antofagasta;,Albergue Plan Protege;,Av. Pedro Aguirre Cerda 9479, Antofagasta, antofagasta, Chile;,Comunidad Terapéutica Tabor;,24 hrs.;,20;,Ver Mapa;,-23.5788693;,-70.3910356;,https://maps.googleapis.com/maps/api/geocode/json?address=Av.+Pedro+Aguirre+Cerda+9479,+Antofagasta,+antofagasta,+Chile&key=AIzaSyBr8k58m1tkHh0QNc5S2KRzcpDYuMREu0A;
Antofagasta;,Albergue;,Calama;,Albergue;,Baquedano 1139, Calama, Antofagasta, Chile;,Municipalidad de Calama;,24 hrs;,20;,Ver Mapa;,-22.4528341;,-68.9168358;,https://maps.googleapis.com/maps/api/geocode/json?address=Baquedano+1139,+Calama,+Antofagasta,+Chile&key=AIzaSyBr8k58m1tkHh0QNc5S2KRzcpDYuMREu0A;
Atacama;,Albergue Plan Protege Calle COVID-19;,Copiapó;,albergue Protege;,Las Brisas 6443, Copiapó, Atacama, Chile;,Fundación Cuatro Esquinas;,24 hrs.;,20;,Ver Mapa;,-27.4095269;,-70.2828492;,https://maps.googleapis.com/maps/api/geocode/json?address=Las+Brisas+6443,+Copiapó,+Atacama,+Chile&key=AIzaSyBr8k58m1tkHh0QNc5S2KRzcpDYuMREu0A;
Coquimbo;,Albergue Plan Protege Calle COVID-19;,Coquimbo;,Abergue Plan Portege Calle;,Miraflores 528, Coquimbo, coquimbo,Chile;,Municipalidad de Coquimbo;,24 hrs.;,20;,Ver Mapa;,-29.9669281;,-71.3284383;,https://maps.googleapis.com/maps/api/geocode/json?address=Miraflores+528,+Coquimbo,+coquimbo,Chile&key=AIzaSyBr8k58m1tkHh0QNc5S2KRzcpDYuMREu0A;
Coquimbo;,Albergue;,La Serena;,Albergue;,Las Casas, La Serena, Coquimbo, Chile;,Gobernación del Elqui;,24 hrs.;,20;,Ver Mapa;,-29.9043383;,-71.24454759999999;,https://maps.googleapis.com/maps/api/geocode/json?address=Las+Casas,+La+Serena,+Coquimbo,+Chile&key=AIzaSyBr8k58m1tkHh0QNc5S2KRzcpDYuMREu0A;
Coquimbo;,Albergue;,Ovalle;,Albergue;,Socos 64, Ovalle, Coquimbo, Chile;,Gobernación del Limarí;,24 hrs.;,20;,Ver Mapa;,-30.6000795;,-71.2000092;,https://maps.googleapis.com/maps/api/geocode/json?address=Socos+64,+Ovalle,+Coquimbo,+Chile&key=AIzaSyBr8k58m1tkHh0QNc5S2KRzcpDYuMREu0A;
Valparaíso;,Albergue;,Calera;,Albergue;,Carrera 1075, La Calera, Calera, Valparaíso, Chile;,Municipalidad de  La Calera;,24 hrs.;,20;,Ver Mapa;,-32.787776;,-71.1956805;,https://maps.googleapis.com/maps/api/geocode/json?address=Carrera+1075,+La+Calera,+Calera,+Valparaíso,+Chile&key=AIzaSyBr8k58m1tkHh0QNc5S2KRzcpDYuMREu0A;
Valparaíso;,Albergue;,Limache;,Albergue;,Echaurren, Limache, Valparaíso, Chile;,Municipalidad de Limache;,24 hrs.;,20;,Ver Mapa;,-33.0036965;,-71.2661954;,https://maps.googleapis.com/maps/api/geocode/json?address=Echaurren,+Limache,+Valparaíso,+Chile&key=AIzaSyBr8k58m1tkHh0QNc5S2KRzcpDYuMREu0A;
Valparaíso;,Albergue;,Los Andes;,Albergue;,Presidente Doctor Salvador Allende 131, Los Andes, Valparaíso, Chile;,Municipalidad de Los Andes;,24 hrs.;,20;,Ver Mapa;,-32.8231895;,-70.60868099999999;,https://maps.googleapis.com/maps/api/geocode/json?address=Presidente+Doctor+Salvador+Allende+131,+Los+Andes,+Valparaíso,+Chile&key=AIzaSyBr8k58m1tkHh0QNc5S2KRzcpDYuMREu0A;
Valparaíso;,Albergue;,Quillota;,Albergue;,Blanco Encalada 158, Quillota, Valparaíso, Chile;,Municipalidad de Quillota;,24 hrs.;,20;,Ver Mapa;,-32.8788162;,-71.2441417;,https://maps.googleapis.com/maps/api/geocode/json?address=Blanco+Encalada+158,+Quillota,+Valparaíso,+Chile&key=AIzaSyBr8k58m1tkHh0QNc5S2KRzcpDYuMREu0A;
Valparaíso;,Albergue Plan Protege Calle COVID-19;,Quilpué;,Albergue Protege;,El Retiro 752, Quilpué, Valparaíso, Chile;,Fundación Amalegría;,24 hrs.;,20;,Ver Mapa;,-33.0351715;,-71.44209219999999;,https://maps.googleapis.com/maps/api/geocode/json?address=El+Retiro+752,+Quilpué,+Valparaíso,+Chile&key=AIzaSyBr8k58m1tkHh0QNc5S2KRzcpDYuMREu0A;
Valparaíso;,Albergue;,Quilpué;,Albergue;,Ramón Ángel Jara, Quilpué, Valparaíso, Chile;,Municipalidad de Quilpué;,24 hrs.;,20;,Ver Mapa;,-33.0593822;,-71.4022526;,https://maps.googleapis.com/maps/api/geocode/json?address=Ramón+Ángel+Jara,+Quilpué,+Valparaíso,+Chile&key=AIzaSyBr8k58m1tkHh0QNc5S2KRzcpDYuMREu0A;
Valparaíso;,Albergue;,San Antonio;,Albergue;,Veintiuno de Mayo 1092, San Antonio, Valparaíso, Chile;,Gobernación de San Antonio;,24 hrs.;,20;,Ver Mapa;,-33.591681;,-71.6126261;,https://maps.googleapis.com/maps/api/geocode/json?address=Veintiuno+de+Mayo+1092,+San+Antonio,+Valparaíso,+Chile&key=AIzaSyBr8k58m1tkHh0QNc5S2KRzcpDYuMREu0A;
Valparaíso;,Albergue;,San Felipe;,Albergue;,Abraham Ahumada 99, San Felipe, Valparaíso, Chile;,Gobernación de  San Felipe;,24 hrs.;,20;,Ver Mapa;,-32.7408771;,-70.7208862;,https://maps.googleapis.com/maps/api/geocode/json?address=Abraham+Ahumada+99,+San+Felipe,+Valparaíso,+Chile&key=AIzaSyBr8k58m1tkHh0QNc5S2KRzcpDYuMREu0A;
Valparaíso;,Albergue;,San Felipe;,Albergue;,Toro Mazote 358, San Felipe, Valparaíso, Chile;,Municipalidad de San Felipe;,24 hrs.;,20;,Ver Mapa;,-32.7544917;,-70.7228018;,https://maps.googleapis.com/maps/api/geocode/json?address=Toro+Mazote+358,+San+Felipe,+Valparaíso,+Chile&key=AIzaSyBr8k58m1tkHh0QNc5S2KRzcpDYuMREu0A;
